,Title,Artist,Genre,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Mode,Time Signature,Key,Duration,Release Year,Year,Lyrics
0,Oops!...I Did It Again,Britney Spears,"dance pop, pop",0.3,0.751,0.834,1.77E-05,0.355,-5.444,0.0437,0.894,95.053,Minor,4,1,211160,2000,2000,"['Mmm, yeah', 'Yeah, yeah, yeah, yeah, yeah, yeah', 'Yeah, yeah, yeah, yeah, yeah, yeah', '', 'I think I did it again', ""I made you believe we're more than just friends"", 'Oh, baby, it might seem like a crush', ""But it doesn't mean that I'm serious"", '', ""'Cause to lose all my senses"", 'That is just so typically me', 'Ooh, baby, baby', '', 'Oops, I did it again', 'I played with your heart', 'Got lost in the game', 'Oh, baby, baby', ""Oops, you think I'm in love"", ""That I'm sent from above"", ""I'm not that innocent"", '', 'You see, my problem is this', ""I'm dreamin' away"", ""Wishin' that heroes, they truly exist"", 'I cry watching the days', ""Can't you see I'm a fool in so many ways?"", 'But to lose all my senses', 'That is just so typically me', 'Oh, baby, oh', '', 'Oops, I did it again', 'I played with your heart', 'Got lost in the game', 'Oh, baby, baby', ""Oops, you think I'm in love"", ""That I'm sent from above"", ""I'm not that innocent"", '', 'Yeah, yeah, yeah, yeah, yeah, yeah', 'Yeah, yeah, yeah, yeah, yeah, yeah', '', '""All aboard!""', '""Britney! Before you go, there\'s something I want you to have.""', '""Oh, it\'s beautiful! But wait a minute, isn\'t this...?""', '""Yeah, yes, it is.""', '""But I thought the old lady dropped it into the ocean in the end.""', '""Well, baby, I went down and got it for ya.""', '""Aw, you shouldn\'t have""', 'Oops, I did it again to your heart', 'Got lost in this game, oh, baby (Baby)', 'Oops, you (Oops, you)', ""Think that I'm sent from above"", ""I'm not that innocent"", '', 'Oops, I did it again', 'I played with your heart', 'Got lost in the game (Yeah, yeah)', 'Oh, baby, baby', ""Oops, you think I'm in love"", ""That I'm sent from above (Yeah yeah)"", ""I'm not that innocent (Not that innocent, babe)"", 'Oops, I (Oops, I) did it again (Did it again to your heart)', 'I played with your heart (Got lost)', 'Got lost in the game (In this game, oh, baby)', 'Oh, baby, baby', ""Oops, you (Oops, you) think I'm in love (Think that I'm sent)"", ""That I'm sent from above"", ""I'm not that innocent""]"
1,All The Small Things,blink-182,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk",0.0103,0.434,0.897,0,0.612,-4.918,0.0488,0.684,148.726,Major,4,0,167067,1999,2000,"['All the small things', 'True care, truth brings', ""I'll take one lift"", 'Your ride, best trip', 'Always, I know', ""You'll be at my show"", 'Watching, waiting', 'Commiserating', '', ""Say it ain't so, I will not go"", 'Turn the lights off, carry me home', '', 'Na-na, na-na, na-na, na-na, na, na', 'Na-na, na-na, na-na, na-na, na, na', 'Na-na, na-na, na-na, na-na, na, na', 'Na-na, na-na, na-na, na-na, na, na', '', 'Late night, come home', 'Work sucks, I know', 'She left me roses by the stairs', 'Surprises let me know she cares', ""Just say it ain't so, I will not go"", 'Turn the lights off, carry me home', '', 'Na-na, na-na, na-na, na-na, na, na', 'Na-na, na-na, na-na, na-na, na, na', 'Na-na, na-na, na-na, na-na, na, na', 'Na-na, na-na, na-na, na-na, na, na', '', '', ""Say it ain't so, I will not go"", 'Turn the lights off, carry me home', ""Keep your head still, I'll be your thrill"", 'The night will go on, my little windmill', '', '(Na-na, na-na, na-na, na-na, na, na)', ""Say it ain't so, I will not go"", '(Na-na, na-na, na-na, na-na, na, na)', 'Turn the lights off, carry me home', '(Na-na, na-na, na-na, na-na, na, na)', ""Keep your head still, I'll be your thrill"", '(Na-na, na-na, na-na, na-na, na, na)', 'The night will go on, the night will go on, my little windmill']"
2,Breathe,Faith Hill,"contemporary country, country, country dawn, country road",0.173,0.529,0.496,0,0.251,-9.007,0.029,0.278,136.859,Major,4,7,250547,1999,2000,"['I can feel the magic floating in the air', 'Being with you gets me that way', ""I watch the sunlight dance across your face and I've"", 'Never been this swept away', '', 'All my thoughts just seem to settle on the breeze', ""When I'm lying wrapped up in your arms"", 'The whole world just fades away', 'The only thing I hear', 'Is the beating of your heart', '', ""And I can feel you breathe, it's washing over me"", ""And suddenly, I'm melting into you"", ""There's nothing left to prove"", 'Baby, all we need is just to be', 'Caught up in the touch, slow and steady rush', ""Baby, isn't that the way that love's supposed to be?"", 'I can feel you breathe', 'Just breathe', '', 'In a way, I know my heart is waking up', 'As all the walls come tumbling down', ""I'm closer than I've ever felt before"", 'And I know, and you know', ""There's no need for words right now"", ""And I can feel you breathe, it's washing over me"", ""And suddenly, I'm melting into you"", ""There's nothing left to prove"", 'Baby, all we need is just to be', 'Caught up in the touch, slow and steady rush', ""Baby, isn't that the way that love's supposed to be?"", 'I can feel you breathe', 'Just breathe', '', '', 'Caught up in the touch', 'The slow and steady rush', ""Baby, isn't that the way that love's supposed to be?"", 'I can feel you breathe', 'Just breathe', '', 'I can feel the magic floating in the air', 'Being with you gets me that way']"
3,It's My Life,Bon Jovi,"glam metal, rock",0.0263,0.551,0.913,1.35E-05,0.347,-4.063,0.0466,0.544,119.992,Minor,4,0,224493,2000,2000,"[""This ain't a song for the broken-hearted (woah oh, woah oh, oh)"", 'No silent prayer for the faith-departed', ""I ain't gonna be just a face in the crowd"", ""You're gonna hear my voice when I shout it out loud"", '', ""It's my life, it's now or never"", ""I ain't gonna live forever"", ""I just want to live while I'm alive"", ""(It's my life) My heart is like an open highway"", 'Like Frankie said, ""I did it my way""', ""I just wanna live while I'm alive"", ""It's my life"", '', 'This is for the ones who stood their ground', 'For Tommy and Gina who never backed down', ""Tomorrow's getting harder make no mistake"", ""Luck ain't even lucky, got to make your own breaks"", '', ""It's my life, it's now or never"", ""I ain't gonna live forever"", ""I just want to live while I'm alive"", ""(It's my life) My heart is like an open highway"", 'Like Frankie said, ""I did it my way""', ""I just wanna live while I'm alive"", ""'Cause it's my life"", ""Better stand tall when they're calling you out"", ""Don't bend, don't break, baby, don't back down"", '', ""It's my life, it's now or never"", ""I ain't gonna live forever"", ""I just want to live while I'm alive"", ""(It's my life) My heart is like an open highway"", 'Like Frankie said, ""I did it my way""', ""I just wanna live while I'm alive"", ""It's my life"", ""And it's now or never"", ""I ain't gonna live forever"", ""I just want to live while I'm alive"", ""(It's my life) My heart is like an open highway"", 'Like Frankie said, ""I did it my way""', ""I just wanna live while I'm alive"", ""It's my life""]"
4,Bye Bye Bye,*NSYNC,"boy band, dance pop, pop",0.031,0.61,0.926,0.0012,0.0821,-4.843,0.0479,0.861,172.638,Minor,4,8,200400,2000,2000,"['Hey, hey', 'Bye, bye, bye', 'Bye, bye', 'Bye, bye (Oh, oh)', '', ""I, I'm doing this tonight"", ""You're probably gonna start a fight"", ""I know this can't be right"", 'Hey baby, come on', 'I loved you endlessly', ""And you weren't there for me"", ""So now, it's time to leave"", 'And make it alone', '', ""I know that I can't take no more"", ""It ain't no lie"", 'I wanna see you out that door', 'Baby, bye bye bye (Bye bye)', '', ""Don't wanna be a fool for you"", 'Just another player in your game for two', ""You may hate me but it ain't no lie"", 'Baby, bye bye bye (Bye bye)', ""Don't really wanna make it tough"", 'I just wanna tell you that I had enough', ""Might sound crazy but it ain't no lie"", 'Baby, bye bye bye (Oh oh)', 'You just hit me with the truth now', ""Girl, you're more than welcome to"", 'So, give me one good reason', 'Baby, come on', 'I lived for you and me', 'And now, I really come to see', 'That life would be much better', ""Once you're gone"", '', ""I know that I can't take no more"", ""It ain't no lie"", 'I wanna see you out that door', 'Baby, bye bye bye (Bye bye)', '', ""Don't wanna be a fool for you"", 'Just another player in your game for two', ""You may hate me but it ain't no lie"", 'Baby, bye bye bye (Bye bye)', ""Don't really wanna make it tough"", 'I just wanna tell you that I had enough (Ooh ooh)', ""Might sound crazy but it ain't no lie"", 'Baby, bye bye bye...', '[Middle 8: All]', ""I'm giving up, I know for sure"", ""I don't wanna be the reason for your love no more"", '(Bye bye)', ""I'm checkin' out, I'm signin' off"", ""I don't want to be the loser and I've had enough"", '', ""I don't wanna be your fool"", 'In this game for two', ""So I'm leaving you behind"", '(Bye bye bye, yeah)', ""I don't wanna make it tough"", '(Make it though)', ""But I've had enough (Bye bye...)"", ""And it ain't no lie"", 'Bye bye (Baby)', '', ""Don't wanna be a fool for you"", ""(I don't wanna be a fool)"", 'Just another player in your game for two', '(In this game for two)', ""I don't wanna be a fool but it ain't no lie"", 'Baby, bye bye bye (All: bye bye)', ""Don't really wanna make it tough (Oh oh)"", ""(I don't wanna make it tough)"", 'I just wanna tell you that I had enough', ""(But I've had enough)"", ""Might sound crazy but it ain't no lie"", 'Bye bye bye (Bye bye)']"
5,Thong Song,Sisqo,"contemporary r&b, dirty south rap, hip pop, r&b, urban contemporary",0.119,0.706,0.888,9.64E-05,0.07,-6.959,0.0654,0.714,121.549,Major,4,2,253733,1999,2000,"['This thing right here', ""Is lettin' all the ladies know"", 'What guys talk about', 'You know', 'The finer things in life', 'Hahaha', 'Check it out', '', 'Ooh, that dress so scandalous', ""And you know another nigga couldn't handle it"", 'See you shaking that thing like, ""Who\'s the ish?""', 'With a look in your eye so devilish, ugh', 'You like to dance at all the hip-hop spots', 'And you cruise to the crews like connect-the-dots', 'Not just urban, she like the pop (Ugh)', ""'Cause she was livin' la vida loca"", '', 'She had dumps (Ugh) like a truck (Ugh), truck (Ugh), truck (Ugh)', 'Thighs (Ugh) like what (Ugh), what (Ugh), what (Ugh)', 'Baby, move your butt (Ugh), butt (Ugh), butt (Ugh)', ""I think I'll sing it again (Come on)"", 'She had dumps like a truck (Ugh), truck (Ugh), truck (Ugh)', 'Thighs like what (Ugh), what (Ugh), what (Ugh)', 'All night long (Hahaha)', 'Let me see that thong (Come on)', '(I like it when the beat goes, ""Da na, da-na"")', '(Baby, make your booty go, ""Da-na, da-na"")', 'Baby (Girl, I know you wanna show, da-na, da-na)', 'That thong-th-thong-thong-thong (Ugh)', 'I like it when the beat goes (""Da-na, da-na"")', 'Baby, make your booty go (""Da-na, da-na"")', '(Girl, I know you wanna show, da-na, da-na)', 'That thong-th-thong-thong-thong (Ugh, any)', '', 'Listen, that girl so scandalous', ""And I know another nigga couldn't handle it"", 'And she shaking that thing like, ""Who\'s the ish?""', 'With a look in her eye so devilish, ugh', 'She like to dance at all the hip-hop spots', 'And she cruise to the crews like connect-the-dots', 'Not just urban, she like the pop', ""'Cause she was livin' la vida loca"", '', 'She had dumps like a truck (Ugh), truck (Ugh), truck (Ugh)', 'Thighs like what (Ugh), what (Ugh), what (Ugh)', 'Baby move your butt (Ugh), butt (Ugh), butt (Ugh)', ""I think I'll sing it again"", 'She had dumps like a truck (Ugh), truck (Ugh), truck (Ugh)', 'Thighs like what, what, what', 'All night long (Come on)', 'Let me see that thong (Uh-huh)', '(I like it when the beat goes, ""Da-na, da-na"")', '(Baby, make your booty go, ""Da na, da-na"")', 'Baby (Girl, I know you wanna show, da-na, da-na)', 'That thong-th-thong-thong-thong', 'I like it when the beat goes (""Da-na, da-na"")', 'Baby, make your booty go (""Da-na, da-na"")', '(Girl, I know you wanna show, da-na, da-na)', 'That thong-th-thong-thong-thong (Yeah)', 'Yeah (I like it when the beat goes, ""Da-na, da-na"")', 'Come on (Baby, make your booty go, ""Da-na, da-na"")', 'Baby (Girl, I know you wanna show, da-na, da-na)', 'That thong-th-thong-thong-thong (Ugh, yeah)', 'Said, I (I like it when the beat goes, ""Da-na, da-na"")', 'Ugh (Baby, make your booty go, ""Da-na, da-na"")', 'All right (Girl, I know you wanna show, da-na da-na)', 'That thong (Th-thong-thong-thong)', '', 'That dress so scandalous', ""And I swear another nigga couldn't handle it (Ha)"", 'See, you shaking that thing like, ""Who\'s the ish?""', 'With a look in your eye so devilish, ugh', 'You like to dance at all the hip-hop spots', 'And you cruise to the crews like connect-the-dots', 'Not just urban, you like the pop', ""'Cause you was livin' la vida loca (Whoa)"", 'She had dumps like a truck, truck, truck', 'Thighs like what, what, what', 'Baby, move your butt, butt, butt, ugh', 'I think Iâ€™ll sing it again', ""'Cause she had dumps like a truck, truck, truck"", 'Thighs like what, what, what', 'Baby, move your butt, butt, butt, ugh', ""I think I'll sing it again, come on"", '', '[Break]', 'Come on', 'Come on', 'Come on', '', 'Yeah, yeah (I like it when the beat goes, ""Da-na, da-na"")', '(Baby, make your booty go, ""Da-na, da-na"")', '(Girl, I know you wanna show, da-na, da-na)', 'Baby, that thong (That thong-th-thong-thong-thong)', 'Said I like the way, oh (I like it when the beat goes, ""Da-na, da-na"")', '(Baby, make your booty go, ""Da-na, da-na"")', 'Baby, uh (Girl, I know you wanna show, da-na, da-na)', 'That thong-th-thong thong thong', 'Listen, said, ""I like the way"" (I like it when the beat goes, ""Da-na, da-na"")', '(Baby, make your booty go, ""Da-na, da-na"")', ""I don't think you heard me"", '(Girl, I know you wanna show, da-na, da-na)', 'That thong-th-thong thong thong', 'Said I like the way (I like it when the beat goes, ""Da-na, da-na"")', 'You move that thing (Baby, make your booty go, ""Da-na, da-na"")', 'I see your body (Girl, I know you wanna show, da-na, da-na)', 'Glistening (That thong-th-thong-thong-thong)', 'Your thighs, your knees (I like it when the beat goes, ""Da-na, da-na"")', 'Your breasts, your feet (Baby, make your booty go, ""Da-na, da-na"")', 'Oh, please, tell me (Girl, I know you wanna show, da-na, da-na)', 'Baby, oh (That thong-th-thong-thong-thong)', '', 'Whoa (Da-na, da-na)', '(Da-na, da-na)', 'Ugh, alright, ha (Da-na, da-na)', '(That thong-th-thong thong-thong)', 'Ugh, whoa, yeah (Da-na, da-na)', '(Da-na, da-na)', '(Da-na, da-na)', 'Ooh (That thong-th-thong-thong-thong)', 'Whoa (Like it when the beat goes, ""Da na, da-na"")', '(Baby, make your booty go, ""Da-na, da-na"")', 'Ugh (Girl, I know you wanna show, da-na, da-na)', 'Baby (That thong-th-thong-thong-thong)', 'Whoa, ayy (I like it when the beat goes, ""Da na, da-na"")', '(Baby, make your booty go, ""Da-na, da-na"")', '(Girl, I know you wanna show, da-na, da-na)', '(That thong-th-thong-thong-thong)', 'All right', '(Like it when the beat goes, ""Da na, da-na"")', '(Baby, make your booty go, ""Da-na, da-na"")', '(Da-na, da-na)']"
6,The Real Slim Shady,Eminem,"detroit hip hop, hip hop, rap",0.0302,0.949,0.661,0,0.0454,-4.244,0.0572,0.76,104.504,Minor,4,5,284200,2000,2000,"['May I have your attention, please?', 'May I have your attention, please?', 'Will the real Slim Shady please stand up?', 'I repeat', 'Will the real Slim Shady please stand up?', ""We're gonna have a problem here"", '', ""Y'all act like you never seen a white person before"", 'Jaws all on the floor like Pam, like Tommy just burst in the door', ""And started whoopin' her ass worse than before"", ""They first were divorced, throwin' her over furniture (Agh!)"", 'It\'s the return of the ""Oh, wait, no way, you\'re kidding', 'He didn\'t just say what I think he did, did he?""', 'And Dr. Dre said', ""Nothing, you idiots, Dr. Dre's dead, he's locked in my basement (Ha-ha!)"", 'Feminist women love Eminem', '""Chicka-chicka-chicka, Slim Shady, I\'m sick of him', ""Look at him, walkin' around, grabbin' his you-know-what"", 'Flippin\' the you-know-who,"" ""Yeah, but he\'s so cute though""', 'Yeah, I probably got a couple of screws up in my head loose', ""But no worse than what's goin' on in your parents' bedrooms"", 'Sometimes I wanna get on TV and just let loose', ""But can't, but it's cool for Tom Green to hump a dead moose"", '""My bum is on your lips, my bum is on your lips""', ""And if I'm lucky, you might just give it a little kiss"", ""And that's the message that we deliver to little kids"", ""And expect them not to know what a woman's clitoris is"", ""Of course, they're gonna know what intercourse is"", ""By the time they hit fourth grade they've got the Discovery Channel, don't they?"", ""We ain't nothin' but mammalsâ€”"", 'Well, some of us cannibals who cut other people open like cantaloupes', 'But if we can hump dead animals and antelopes', ""Then there's no reason that a man and another man can't elope"", 'But if you feel like I feel, I got the antidote', 'Women, wave your pantyhose, sing the chorus, and it goes', ""I'm Slim Shady, yes, I'm the real Shady"", 'All you other Slim Shadys are just imitating', ""So won't the real Slim Shady please stand up"", 'Please stand up, please stand up?', ""'Cause I'm Slim Shady, yes, I'm the real Shady"", 'All you other Slim Shadys are just imitating', ""So won't the real Slim Shady please stand up"", 'Please stand up, please stand up?', '', ""Will Smith don't gotta cuss in his raps to sell records (Nope)"", 'Well, I do, so fuck him, and fuck you too', 'You think I give a damn about a GRAMMY?', ""Half of you critics can't even stomach me, let alone stand me"", '""But Slim, what if you win? Wouldn\'t it be weird?""', 'Why? So you guys could just lie to get me here?', 'So you can sit me here next to Britney Spears?', 'Yo, shit, Christina Aguilera better switch me chairs', 'So I can sit next to Carson Daly and Fred Durst', ""And hear 'em argue over who she gave head to first"", 'Little bitch put me on blast on MTV', '""Yeah, he\'s cute, but I think he\'s married to Kim, hee-hee""', 'I should download her audio on MP3', 'And show the whole world how you gave Eminem VD (Agh!)', ""I'm sick of you little girl and boy groups, all you do is annoy me"", 'So I have been sent here to destroy you', ""And there's a million of us just like me"", ""Who cuss like me, who just don't give a fuck like me"", 'Who dress like me, walk, talk and act like me', 'And just might be the next best thing, but not quite me', ""'Cause I'm Slim Shady, yes, I'm the real Shady"", 'All you other Slim Shadys are just imitating', ""So won't the real Slim Shady please stand up"", 'Please stand up, please stand up?', ""'Cause I'm Slim Shady, yes, I'm the real Shady"", 'All you other Slim Shadys are just imitating', ""So won't the real Slim Shady please stand up"", 'Please stand up, please stand up?', '', ""I'm like a head trip to listen to 'cause I'm only givin' you"", ""Things you joke about with your friends inside your livin' room"", ""The only difference is I got the balls to say it in front of y'all"", ""And I don't gotta be false or sugarcoat it at all"", 'I just get on the mic and spit it', 'And whether you like to admit it (Err), I just shit it', 'Better than ninety percent of you rappers out can', 'Then you wonder: ""How can kids eat up these albums like Valiums?""', ""It's funny, 'cause at the rate I'm goin', when I'm thirty"", ""I'll be the only person in the nursin' home flirting"", ""Pinchin' nurse's asses when I'm jacking off with Jergens"", ""And I'm jerking, but this whole bag of Viagra isn't working"", ""And every single person is a Slim Shady lurkin'"", ""He could be working at Burger King, spittin' on your onion rings (Ch, puh)"", 'Or in the parkin\' lot, circling, screaming, ""I don\'t give a fuck!""', 'With his windows down and his system up', 'So will the real Shady please stand up', 'And put one of those fingers on each hand up?', 'And be proud to be outta your mind and outta control', 'And one more time, loud as you can, how does it go?', ""I'm Slim Shady, yes, I'm the real Shady"", 'All you other Slim Shadys are just imitating', ""So won't the real Slim Shady please stand up"", 'Please stand up, please stand up?', ""'Cause I'm Slim Shady, yes, I'm the real Shady"", 'All you other Slim Shadys are just imitating', ""So won't the real Slim Shady please stand up"", 'Please stand up, please stand up?', ""'Cause I'm Slim Shady, yes, I'm the real Shady"", 'All you other Slim Shadys are just imitating', ""So won't the real Slim Shady please stand up"", 'Please stand up, please stand up?', ""'Cause I'm Slim Shady, yes, I'm the real Shady"", 'All you other Slim Shadys are just imitating', ""So won't the real Slim Shady please stand up"", 'Please stand up, please stand up?', '', 'Ha-ha', ""I guess there's a Slim Shady in all of us"", ""Fuck it, let's all stand up""]"
7,Rock DJ,Robbie Williams,"dance rock, europop",0.026,0.712,0.762,0,0.0981,-4.307,0.0326,0.842,103.032,Major,4,7,260560,2013,2000,"['Me with the floor show kicking with your torso', 'Boys getting high and the girls even more so', ""Wave your hands if you're not with the man"", 'Can I kick it? (Yes you can)', 'I got (funk), you got (soul)', 'We got everybody', ""I've got the gift gonna stick it in the goal"", ""It's time to move your body"", '', 'Babylon back in business', 'Can I get a witness?', 'Every girl, every man (hoo-hoo, hoo-ooo)', 'Houston, do you hear me?', 'Ground control, can you feel me?', 'Need permission to land', '', ""I don't wanna rock DJ"", ""But you're making me feel so nice"", ""When's it gonna stop DJ"", ""'Cause you're keeping me up all night"", '', 'Singing in the classes, music for your masses', 'Give no head no backstage passes', ""Have a proper giggle I'll be quite polite"", 'But when I rock the mic, I rock the mic (Right)', ""You got no love then you're with the wrong man"", ""It's time to move your body"", ""If you can't get a girl but your best friend can"", ""It's time to move your body"", ""I don't wanna be sleazy, baby just tease me"", 'Got no family planned', 'Houston, do you hear me?', 'Ground control, can you feel me?', 'Need permission to land', '', ""I don't wanna rock (rock) DJ (DJ)"", ""But you're making me feel so nice"", ""When's it gonna stop (stop) DJ (DJ)"", ""'Cause you're keeping me up all night"", '', ""I don't wanna rock (rock) DJ (DJ)"", ""But you're making me feel so nice"", ""When's it gonna stop (stop) DJ (DJ)"", ""'Cause you're keeping me up all night"", '', ""Pimping ain't easy, most of them fleece me"", 'Every night', ""Pimping ain't easy"", ""But if you're selling it (selling it, selling it)"", ""It's alright"", 'Come on', '', ""I don't wanna rock (rock) DJ (DJ)"", ""But you're making me feel so nice"", ""When's it gonna stop (stop) DJ (DJ)"", ""'Cause you're keeping me up all night"", '', ""I don't wanna rock (rock) DJ (DJ)"", ""But you're making me feel so nice"", ""When's it gonna stop (stop) DJ (DJ)"", ""'Cause you're keeping me up all night""]"
8,Say My Name,Destiny's Child,"dance pop, girl group, pop, r&b, urban contemporary",0.273,0.713,0.678,0,0.149,-3.525,0.102,0.734,138.009,Minor,4,5,271333,1999,2000,"[""Darkchild '99"", '', 'Say my name, say my name', 'If no one is around you', 'Say, â€œBaby, I love youâ€', ""If you ain't runnin' game"", 'Say my name, say my name', ""You actin' kinda shady"", 'Ain\'t callin\' me ""Baby""', 'Why the sudden change?', 'Say my name, say my name', 'If no one is around you', 'Say, â€œBaby, I love youâ€', ""If you ain't runnin' game"", 'Say my name, say my name', ""You actin' kinda shady"", 'Ain\'t callin\' me ""Baby""', 'Better say my name', '', 'Any other day I would call you would say (Say)', '""Baby, how\'s your day?"" But today it ain\'t the same', 'Every other word is ""Uh-huh (Uh-huh), yeah, okay"" (Okay)', 'Could it be that you are at the crib with another lady? (Another lady)', 'If you took it there first of all let me say (Say)', 'I am not the one to sit around and be played', ""So prove yourself to me if I'm the girl that you claim (Claim)"", ""Why don't you say the things that you said to me yesterday? (Yesterday)"", 'I know you say that I am assuming things', ""Something's goin' down, that's the way it seems"", ""Shouldn't be no reason why you're actin' strange"", ""If nobody's holding you back from me"", ""'Cause I know how you usually do"", ""Where you're sayin' everything to me times two"", ""Why can't you just tell the truth?"", ""If somebody's there then tell me who"", '', 'Say my name, say my name (Say my name, is around you)', 'If no one is around you', 'Say, â€œBaby, I love youâ€ (Love you)', ""If you ain't runnin' game"", 'Say my name, say my name (Say my name, say my name)', ""You actin' kinda shady"", 'Ain\'t callin\' me ""Baby"" (Baby, hey, yeah)', 'Why the sudden change?', 'Say my name, say my name', 'If no one is around you (Yeah, yeah, yeah)', 'Say, â€œBaby, I love youâ€', ""If you ain't runnin' game (No, no)"", 'Say my name, say my name', ""You actin' kinda shady"", 'Ain\'t callin\' me ""Baby""', 'Better say my name', 'What is up with this? Tell the truth, who you with? (With)', 'How would you like it if I came over with my clique?', ""Don't try to change it now sayin' you gotta bounce (Bounce)"", 'When two seconds ago said you just got in the house (The house)', ""It's hard to believe that you are at home by yourself (By yourself)"", 'When I just heard the voice, heard the voice of someone else', 'Just this question, why do you feel (Feel) you gotta lie? (L-Lie)', ""Gettin' caught up in your game when you cannot say my name"", '(Say my, say my name)', '', 'I know you say that I am assuming things', ""Something's goin' down, that's the way it seems"", ""Shouldn't be no reason why you're actin' strange"", ""If nobody's holding you back from me"", ""'Cause I know how you usually do"", ""Where you're sayin' everything to me times two"", ""Why can't you just tell the truth?"", ""If somebody's there then tell me who"", '', 'Say my name, say my name (Say my name)', 'If no one is around you', 'Say, â€œBaby, I love youâ€ (I love you)', ""If you ain't runnin' game"", 'Say my name, say my name (Say my name, say my name)', ""You actin' kinda shady (Say my name)"", 'Ain\'t callin\' me ""Baby""', 'Why the sudden change? (Sudden change)', 'Say my name, say my name (Say my name)', ""If no one is around you (If ain't nothin' changed, oh)"", 'Say, â€œBaby, I love youâ€', ""If you ain't runnin' game (Baby, say my name)"", 'Say my name, say my name', ""You actin' kinda shady (Ooh, whoa, yeah)"", 'Ain\'t callin\' me ""Baby""', 'Better say my name', 'Where my ladies at?', ""Yeah, yeah, yeah, yeah, yeah (Can you say that? C'mon)"", 'Yeah, yeah, yeah, yeah (Yeah, yeah, yeah)', 'Yeah, yeah, yeah, yeah (Yeah, yeah, yeah) (All the girls say)', ""Yeah, yeah, yeah, yeah (Yeah, yeah, yeah) (I can't)"", 'Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah', 'Yeah, yeah, yeah, yeah (Yeah, yeah, yeah)', 'Yeah, yeah, yeah, yeah (Yeah, yeah, yeah)', 'Yeah, yeah, yeah, yeah (Yeah, yeah, yeah)', 'Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah (Break it down)', 'Oh-ooh, whoa-whoa', ""(Uh, uh-uh, D-C, take it to the bridge, c'mon)"", '', 'I know you say that I am assuming things', ""Something's goin' down, that's the way it seems"", ""Shouldn't be no reason why you're actin' strange"", ""If nobody's holding you back from me"", ""'Cause I know how you usually do"", ""Where you're sayin' everything to me times two"", ""Why can't you just tell the truth?"", ""If somebody's there then tell me who"", '', 'Say my name, say my name', 'If no one is around you (If no one is around you)', 'Say, â€œBaby, I love youâ€', ""If you ain't runnin' game (Call me your boo)"", 'Say my name, say my name', ""You actin' kinda shady (And tell me what you'd like to do, whoa)"", 'Ain\'t callin\' me ""Baby""', 'Why the sudden change?', 'Say my name, say my name', 'If no one is around you', 'Say, â€œBaby, I love youâ€', ""If you ain't runnin' game"", 'Say my name, say my name', ""You actin' kinda shady (Shady)"", 'Ain\'t callin\' me ""Baby"" (Baby)', 'Better say my name', 'Say my name, say my name', 'If no one is around you', 'Say, â€œBaby, I love youâ€ (Say, ""Baby, I love you"")', ""If you ain't runnin' game"", 'Say my name, say my name (Say my name)', ""You actin' kinda shady (Say my name)"", 'Ain\'t callin\' me ""Baby""', 'Why the sudden change? (Yeah, yeah, yeah, yeah)', 'Say my name, say my name (Yeah, yeah, yeah, yeah)', 'If no one is around you (Yeah, yeah, yeah, yeah)', 'Say, â€œBaby, I love youâ€ (Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah)', ""If you ain't runnin' game (Yeah, yeah, yeah, yeah)"", 'Say my name, say my name (Yeah, yeah, yeah, yeah)', ""You actin' kinda shady (Yeah, yeah, yeah, yeah)"", 'Ain\'t callin\' me ""Baby"" (Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah)', 'Better say my name', '', ""Thou shalt know she can't love you""]"
9,Yellow,Coldplay,"permanent wave, pop",0.00239,0.429,0.661,0.000121,0.234,-7.227,0.0281,0.285,173.372,Major,4,11,266773,2000,2000,"['Look at the stars', 'Look how they shine for you', 'And everything you do', 'Yeah, they were all yellow', 'I came along', 'I wrote a song for you', 'And all the things you do', ""And it was called 'Yellow'"", 'So then I took my turn', 'Oh, what a thing to have done', 'And it was all yellow', '', '(Aah) Your skin, oh, yeah, your skin and bones', '(Ooh) Turn into something beautiful', '(Aah) You know, you know I love you so', 'You know I love you so', '', 'I swam across', 'I jumped across for you', 'Oh, what a thing to do', ""'Cause you were all yellow"", 'I drew a line', 'I drew a line for you', 'Oh, what a thing to do', 'And it was all yellow', '(Aah) Your skin, oh, yeah, your skin and bones', '(Ooh) Turn into something beautiful', ""(Aah) And you know, for you, I'd bleed myself dry"", ""For you, I'd bleed myself dry"", '', ""It's true"", 'Look how they shine for you', 'Look how they shine for you', 'Look how they shine for', 'Look how they shine for you', 'Look how they shine for you', 'Look how they shine', '', 'Look at the stars', 'Look how they shine for you', 'And all the things that you do']"
